GeneName,Genbank_ID,Member_class,COG_ID,old_functional_class,functional_class,funclass_name,arCOG_ID,arcog_name
VNG0258H,15789549,1,COG1695,K,K,Transcription ,arCOG00006,"Predicted transcriptional regulator, PadR family"
VNG5028G,10803570,1,COG1695,K,K,Transcription ,arCOG00008,"Predicted transcriptional regulator, PadR family"
VNG6239G,16120170,1,COG1695,K,K,Transcription ,arCOG00008,"Predicted transcriptional regulator, PadR family"
VNG6027G,16120001,1,COG1695,K,K,Transcription ,arCOG00008,"Predicted transcriptional regulator, PadR family"
VNG0174G,15789485,3,COG0531,E,E,Amino acid transport and metabolism ,arCOG00009,Amino acid transporter 
VNG1240G,15790298,3,COG0531,E,E,Amino acid transport and metabolism ,arCOG00009,Amino acid transporter 
VNG6220G,16120156,NA,,NA,,NA,arCOG00009/2,NA
VNG6184G,16120128,NA,,NA,,NA,arCOG00009/2,NA
VNG1851G,15790753,3,COG0524,G,G,Carbohydrate transport and metabolism ,arCOG00014,"Sugar kinase, ribokinase family "
VNG0158G,15789472,3,COG0524,G,G,Carbohydrate transport and metabolism ,arCOG00014,"Sugar kinase, ribokinase family "
VNG2516C,15791274,3,COG0524,G,G,Carbohydrate transport and metabolism ,arCOG00014,"Sugar kinase, ribokinase family "
VNG1272C,15790322,3,COG0063,G,G,Carbohydrate transport and metabolism ,arCOG00018,Predicted sugar kinase 
VNG2606G,15791341,3,COG0351,H,H,Coenzyme transport and metabolism ,arCOG00020,Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase 
VNG0247C,15789540,4,COG1992,H,S,Function unknown ,arCOG00021,"Predicted transcriptional regulator fused phosphomethylpyrimidine kinase, involved in the thiamin biosynthesis"
VNG1967G,15790841,3,COG0554,C,C,Energy production and conversion ,arCOG00024,Glycerol kinase 
VNG6211G,16120150,3,COG0076,E,E,Amino acid transport and metabolism ,arCOG00027,"L-tyrosine decarboxylase, PLP-dependent protein "
VNG0327G,15789600,3,COG0076,E,E,Amino acid transport and metabolism ,arCOG00027,"L-tyrosine decarboxylase, PLP-dependent protein "
VNG2447G,15791224,NA,,NA,,NA,arCOG00027/3,NA
VNG0448G,15789688,3,COG0856,F,F,Nucleotide transport and metabolism ,arCOG00028,Orotate phosphoribosyltransferase homolog 
VNG2118G,15790954,3,COG0461,F,F,Nucleotide transport and metabolism ,arCOG00029,Orotate phosphoribosyltransferase 
VNG0559G,15789773,3,COG0503,F,F,Nucleotide transport and metabolism ,arCOG00030,Adenine/guanine phosphoribosyltransferase or related PRPP-binding protein 
VNG2117C,15790953,3,COG0503,F,F,Nucleotide transport and metabolism ,arCOG00031,Adenine/guanine phosphoribosyltransferase or related PRPP-binding protein 
VNG1117C,15790204,4,COG2520,J,R,General function prediction only ,arCOG00033,"Wybutosine (yW) biosynthesis enzyme, Trm5 methyltransferase "
VNG2598G,15791335,3,COG0311,H,H,Coenzyme transport and metabolism ,arCOG00034,Predicted glutamine amidotransferase involved in pyridoxine biosynthesis 
VNG0391C,15789644,4,COG2102,R,R,General function prediction only ,arCOG00035,Predicted ATPase of PP-loop superfamily 
VNG2006C,15790872,1,COG2117,J,J,Translation; ribosomal structure and biogenesis ,arCOG00037,"Predicted subunit of tRNA(5-methylaminomethyl-2-thiouridylate) methyltransferase, contains the PP-loop ATPase domain "
VNG1299C,15790341,3,COG0301,J,H,Coenzyme transport and metabolism ,arCOG00038,tRNA S(4)U 4-thiouridine synthase
VNG6303G,16120215,4,COG0603,R,R,General function prediction only ,arCOG00039,Predicted PP-loop superfamily ATPase 
VNG0335G,15789605,4,COG2236,R,R,General function prediction only ,arCOG00040,Predicted phosphoribosyltransferase
VNG0190C,15789499,2,COG0037,D,D,Cell cycle control; cell division; chromosome partitioning ,arCOG00042,tRNA(Ile)-lysidine synthase MesJ
VNG2242C,15791060,NA,,NA,,NA,arCOG00047/2,NA
VNG1992G,15790860,3,COG0166,G,G,Carbohydrate transport and metabolism ,arCOG00052,Glucose-6-phosphate isomerase 
VNG0006G,15789345,2,COG0449,M,M,Cell wall/membrane/envelope biogenesis ,arCOG00057,Glucosamine 6-phosphate synthetase
VNG0796G,15789956,3,COG0626,E,E,Amino acid transport and metabolism ,arCOG00060,Cystathionine beta-lyase/cystathionine gamma-synthase
VNG1172G,15790244,3,COG0626,E,E,Amino acid transport and metabolism ,arCOG00060,Cystathionine beta-lyase/cystathionine gamma-synthase
VNG2421G,15791204,3,COG2873,E,E,Amino acid transport and metabolism ,arCOG00061,O-acetylhomoserine sulfhydrylase 
VNG0936C,15790062,4,COG0388,R,R,General function prediction only ,arCOG00062,Predicted amidohydrolase 
VNG1830G,15790734,3,COG0504,F,F,Nucleotide transport and metabolism ,arCOG00063,CTP synthase (UTP-ammonia lyase) 
VNG1815G,15790724,NA,COG0505,E,EF,NA,arCOG00064,Carbamoylphosphate synthase small subunit 
VNG0915G,15790043,3,COG0520,O,E,Amino acid transport and metabolism ,arCOG00065,Selenocysteine lyase/Cysteine desulfurase
VNG2471G,15791241,3,COG0520,O,E,Amino acid transport and metabolism ,arCOG00065,Selenocysteine lyase/Cysteine desulfurase
VNG2203G,15791029,NA,COG0462,F,FE,NA,arCOG00067,Phosphoribosylpyrophosphate synthetase 
VNG2031G,15790889,3,COG0171,H,H,Coenzyme transport and metabolism ,arCOG00069,NH3-dependent NAD+ synthetase
VNG1414G,15790428,3,COG0112,E,E,Amino acid transport and metabolism ,arCOG00070,Glycine/serine hydroxymethyltransferase 
VNG0867G,15790007,3,COG0367,E,E,Amino acid transport and metabolism ,arCOG00071,Asparagine synthase (glutamine-hydrolyzing) 
VNG1601G,15790563,3,COG1003,E,E,Amino acid transport and metabolism ,arCOG00076,"Glycine cleavage system protein P (pyridoxal-binding), C-terminal domain "
VNG1603G,15790564,3,COG0403,E,E,Amino acid transport and metabolism ,arCOG00077,"Glycine cleavage system protein P (pyridoxal-binding), N-terminal domain "
VNG1176G,15790248,1,COG1889,J,J,Translation; ribosomal structure and biogenesis ,arCOG00078,Fibrillarin-like rRNA methylase 
VNG2263G,15791077,1,COG0293,J,J,Translation; ribosomal structure and biogenesis ,arCOG00079,23S rRNA methylase 
VNG1673G,15790619,3,COG0284,F,F,Nucleotide transport and metabolism ,arCOG00081,Orotidine-5'-phosphate decarboxylase 
VNG2418G,15791201,3,COG0075,E,E,Amino acid transport and metabolism ,arCOG00082,Serine-pyruvate aminotransferase/archaeal aspartate aminotransferase 
VNG1829G,15790733,3,COG0519,F,F,Nucleotide transport and metabolism ,arCOG00085,"GMP synthase, PP-ATPase domain/subunit "
VNG0386G,16554468,NA,COG0512,E,EH,NA,arCOG00086,Anthranilate/para-aminobenzoate synthase component II 
VNG0386Gm,16554468,NA,COG0512,E,EH,NA,arCOG00086,Anthranilate/para-aminobenzoate synthase component II 
VNG1646G,15790597,NA,COG0512,E,EH,NA,arCOG00086,Anthranilate/para-aminobenzoate synthase component II 
VNG0228G,15789528,3,COG0518,F,F,Nucleotide transport and metabolism ,arCOG00087,GMP synthase - Glutamine amidotransferase domain 
VNG2501C,15791261,3,COG0518,F,F,Nucleotide transport and metabolism ,arCOG00090,GMP synthase - Glutamine amidotransferase domain 
VNG1493G,15790489,3,COG0034,F,F,Nucleotide transport and metabolism ,arCOG00093,Glutamine phosphoribosylpyrophosphate amidotransferase 
VNG0941C,15790066,4,COG0857,R,R,General function prediction only ,arCOG00099,BioD-like N-terminal domain of phosphotransacetylase 
VNG1945G,15790824,3,COG0047,F,F,Nucleotide transport and metabolism ,arCOG00102,"Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain "
VNG1576G,15790548,3,COG1492,H,H,Coenzyme transport and metabolism ,arCOG00105,Cobyric acid synthase 
VNG1573G,15790546,3,COG1797,H,H,Coenzyme transport and metabolism ,arCOG00106,"Cobyrinic acid a,c-diamide synthase "
VNG1163G,15790238,1,COG2890,J,J,Translation; ribosomal structure and biogenesis ,arCOG00109,Methylase of polypeptide chain release factors
VNG2437G,15791215,3,COG0137,E,E,Amino acid transport and metabolism ,arCOG00112,Argininosuccinate synthase 
VNG1543G,15790524,1,COG0863,L,L,Replication; recombination and repair ,arCOG00115,DNA modification methylase 
VNG5071C,10803598,NA,COG0477,G,GEPR,NA,arCOG00130,Permease of the major facilitator superfamily 
VNG5225C,10803705,NA,COG0477,G,GEPR,NA,arCOG00130,Permease of the major facilitator superfamily 
VNG2429G,15791209,NA,COG0477,G,GEPR,NA,arCOG00130,Permease of the major facilitator superfamily 
VNG6457C,16120329,NA,COG0477,G,GEPR,NA,arCOG00130,Permease of the major facilitator superfamily 
VNG0501G,15789729,NA,COG0477,G,GEPR,NA,arCOG00130,Permease of the major facilitator superfamily 
VNG0188H,15789497,NA,COG0477,G,GEPR,NA,arCOG00130,Permease of the major facilitator superfamily 
VNG0427G,15789671,NA,COG0477,G,GEPR,NA,arCOG00130,Permease of the major facilitator superfamily 
VNG6068C,16120033,NA,COG0477,G,GEPR,NA,arCOG00130,Permease of the major facilitator superfamily 
VNG2419C,15791202,NA,COG0477,G,GEPR,NA,arCOG00130,Permease of the major facilitator superfamily 
VNG1687C,15790630,NA,COG0477,G,GEPR,NA,arCOG00132,Permease of the major facilitator superfamily 
VNG0270C,15789558,NA,COG0477,G,GEPR,NA,arCOG00134,Permease of the major facilitator superfamily 
VNG2231C,15791050,NA,COG0477,G,GEPR,NA,arCOG00135,Permease of the major facilitator superfamily 
VNG0157G,15789471,NA,COG0477,G,GEPR,NA,arCOG00147,Permease of the major facilitator superfamily 
VNG6277G,16120195,3,COG1653,G,G,Carbohydrate transport and metabolism ,arCOG00153,"ABC-type trehalose transport system, periplasmic component "
VNG6279G,16120196,3,COG1175,G,G,Carbohydrate transport and metabolism ,arCOG00157,"ABC-type sugar transport system, permease component "
VNG6280G,16120197,3,COG0395,G,G,Carbohydrate transport and metabolism ,arCOG00159,"ABC-type sugar transport system, permease component "
VNG1868G,15790765,3,COG1176,E,E,Amino acid transport and metabolism ,arCOG00161,"ABC-type spermidine/putrescine transport system, permease component I "
VNG1867G,15790764,3,COG1177,E,E,Amino acid transport and metabolism ,arCOG00162,"ABC-type spermidine/putrescine transport system, permease component II "
VNG2396G,15791183,3,COG1178,P,P,Inorganic ion transport and metabolism ,arCOG00163,"ABC-type Fe3+ transport system, permease component "
VNG0923G,15790050,3,COG1178,P,P,Inorganic ion transport and metabolism ,arCOG00163,"ABC-type Fe3+ transport system, permease component "
VNG1592G,15790560,2,COG0555,O,O,Posttranslational modification; protein turnover; chaperones ,arCOG00164,"ABC-type sulfate transport system, permease component "
VNG0455G,15789693,3,COG0573,P,P,Inorganic ion transport and metabolism ,arCOG00167,"ABC-type phosphate transport system, permease component "
VNG2484G,15791251,3,COG0573,P,P,Inorganic ion transport and metabolism ,arCOG00167,"ABC-type phosphate transport system, permease component "
VNG2483G,15791250,3,COG0581,P,P,Inorganic ion transport and metabolism ,arCOG00168,"ABC-type phosphate transport system, permease component "
VNG0453G,15789692,NA,,NA,,NA,arCOG00168/1,NA
VNG2084G,15790927,3,COG3639,P,P,Inorganic ion transport and metabolism ,arCOG00173,"ABC-type phosphate/phosphonate transport system, permease component "
VNG6281G,16120198,3,COG3839,G,G,Carbohydrate transport and metabolism ,arCOG00175,"ABC-type sugar transport system, ATPase component "
VNG1871G,15790767,3,COG3842,E,E,Amino acid transport and metabolism ,arCOG00176,"ABC-type spermidine/putrescine transport system, ATPase component "
VNG0921G,15790049,3,COG3842,E,E,Amino acid transport and metabolism ,arCOG00177,"ABC-type spermidine/putrescine transport system, ATPase component "
VNG2397G,15791184,3,COG3842,E,E,Amino acid transport and metabolism ,arCOG00177,"ABC-type spermidine/putrescine transport system, ATPase component "
VNG2363Gm,16554515,NA,COG0444,E,EP,NA,arCOG00181,"ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component "
VNG2363G,16554515,NA,COG0444,E,EP,NA,arCOG00181,"ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component "
VNG2344G,15791145,NA,COG0444,E,EP,NA,arCOG00181,"ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component "
VNG2526G,15791283,NA,,NA,,NA,arCOG00181/1,NA
VNG2526G,15791283,NA,,NA,,NA,arCOG00181/3,NA
VNG2365G,15791157,3,COG4608,E,E,Amino acid transport and metabolism ,arCOG00184,"ABC-type oligopeptide transport system, ATPase component "
VNG2343G,15791144,3,COG4608,E,E,Amino acid transport and metabolism ,arCOG00184,"ABC-type oligopeptide transport system, ATPase component "
VNG2526G,15791283,NA,,NA,,NA,arCOG00184/1,NA
VNG0901G,15790033,4,COG3845,R,R,General function prediction only ,arCOG00186,"ABC-type uncharacterized transport system, ATPase component "
VNG2612G,15791346,4,COG1245,R,R,General function prediction only ,arCOG00187,"Predicted ATPase, RNase L inhibitor (RLI) homolog "
VNG6326G,16120233,2,COG1131,V,V,Defense mechanisms ,arCOG00194,"ABC-type multidrug transport system, ATPase component "
VNG1893G,15790783,2,COG1131,V,V,Defense mechanisms ,arCOG00194,"ABC-type multidrug transport system, ATPase component "
VNG0465Gm,16554469,2,COG1131,V,V,Defense mechanisms ,arCOG00194,"ABC-type multidrug transport system, ATPase component "
VNG2378G,15791169,2,COG1131,V,V,Defense mechanisms ,arCOG00194,"ABC-type multidrug transport system, ATPase component "
VNG0668C,15789858,2,COG1131,V,V,Defense mechanisms ,arCOG00194,"ABC-type multidrug transport system, ATPase component "
VNG0465G,16554469,2,COG1131,V,V,Defense mechanisms ,arCOG00194,"ABC-type multidrug transport system, ATPase component "
VNG0689G,15789876,2,COG1131,V,V,Defense mechanisms ,arCOG00194,"ABC-type multidrug transport system, ATPase component "
VNG0470G,15789705,NA,,NA,,NA,arCOG00194/2,NA
VNG2552G,15791301,NA,COG1120,P,PH,NA,arCOG00198,"ABC-type cobalamin/Fe3+-siderophores transport system, ATPase component "
VNG2558G,15791306,NA,COG1120,P,PH,NA,arCOG00198,"ABC-type cobalamin/Fe3+-siderophores transport system, ATPase component "
VNG1371Gm,16554494,NA,COG1120,P,PH,NA,arCOG00199,"ABC-type cobalamin/Fe3+-siderophores transport system, ATPase component "
VNG1371G,16554494,NA,COG1120,P,PH,NA,arCOG00199,"ABC-type cobalamin/Fe3+-siderophores transport system, ATPase component "
VNG6264G,16120186,3,COG1121,P,P,Inorganic ion transport and metabolism ,arCOG00201,"ABC-type Mn/Zn transport system, ATPase component "
VNG2317G,15791123,3,COG1122,P,P,Inorganic ion transport and metabolism ,arCOG00202,"ABC-type cobalt transport system, ATPase component "
VNG1631G,15790586,3,COG1122,P,P,Inorganic ion transport and metabolism ,arCOG00202,"ABC-type cobalt transport system, ATPase component "
VNG2085G,15790928,3,COG3638,P,P,Inorganic ion transport and metabolism ,arCOG00206,"ABC-type phosphate/phosphonate transport system, ATPase component "
VNG1247G,15790303,2,COG1131,V,V,Defense mechanisms ,arCOG00208,"ABC-type multidrug transport system, ATPase component "
VNG2486G,15791252,3,COG0226,P,P,Inorganic ion transport and metabolism ,arCOG00213,"ABC-type phosphate transport system, periplasmic component "
VNG0457G,15789694,3,COG0226,P,P,Inorganic ion transport and metabolism ,arCOG00213,"ABC-type phosphate transport system, periplasmic component "
VNG1822G,15790729,3,COG0521,H,H,Coenzyme transport and metabolism ,arCOG00214,Molybdopterin biosynthesis enzyme 
VNG0761G,15789930,4,COG1058,R,R,General function prediction only ,arCOG00215,Predicted nucleotide-utilizing enzyme related to molybdopterin-biosynthesis enzyme MoeA 
VNG0090G,15789416,3,COG0303,H,H,Coenzyme transport and metabolism ,arCOG00216,Molybdopterin biosynthesis enzyme 
VNG0086G,16554458,3,COG0303,H,H,Coenzyme transport and metabolism ,arCOG00217,Molybdopterin biosynthesis enzyme 
VNG0086Gm,16554458,3,COG0303,H,H,Coenzyme transport and metabolism ,arCOG00217,Molybdopterin biosynthesis enzyme 
VNG1595C,15790561,3,COG0725,P,P,Inorganic ion transport and metabolism ,arCOG00219,"ABC-type molybdate transport system, periplasmic component "
VNG0813G,15789967,3,COG0687,E,E,Amino acid transport and metabolism ,arCOG00220,Spermidine/putrescine-binding periplasmic protein 
VNG1869C,15790766,3,COG0687,E,E,Amino acid transport and metabolism ,arCOG00220,Spermidine/putrescine-binding periplasmic protein 
VNG2395C,15791182,3,COG4143,H,H,Coenzyme transport and metabolism ,arCOG00226,"ABC-type thiamine transport system, periplasmic component "
VNG1879G,15790773,3,COG4143,H,H,Coenzyme transport and metabolism ,arCOG00226,"ABC-type thiamine transport system, periplasmic component "
VNG0924G,15790051,3,COG1840,P,P,Inorganic ion transport and metabolism ,arCOG00227,"ABC-type Fe3+ transport system, periplasmic component "
VNG2482G,15791249,3,COG1117,P,P,Inorganic ion transport and metabolism ,arCOG00231,"ABC-type phosphate transport system, ATPase component "
VNG0452G,15789691,3,COG1117,P,P,Inorganic ion transport and metabolism ,arCOG00231,"ABC-type phosphate transport system, ATPase component "
VNG0451G,15789690,3,COG0704,P,P,Inorganic ion transport and metabolism ,arCOG00232,Phosphate uptake regulator 
VNG1037G,15790143,3,COG0179,Q,Q,Secondary metabolites biosynthesis; transport and catabolism ,arCOG00235,"2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway) "
VNG2602G,15791338,NA,,NA,,NA,arCOG00237/1,NA
VNG2602G,15791338,NA,,NA,,NA,arCOG00237/3,NA
VNG2032G,16554507,3,COG1024,I,I,Lipid transport and metabolism ,arCOG00239,Enoyl-CoA hydratase/carnithine racemase 
VNG0428G,15789672,3,COG1024,I,I,Lipid transport and metabolism ,arCOG00239,Enoyl-CoA hydratase/carnithine racemase 
VNG2032Gm,16554507,3,COG1024,I,I,Lipid transport and metabolism ,arCOG00239,Enoyl-CoA hydratase/carnithine racemase 
VNG1079G,15790175,3,COG0447,H,H,Coenzyme transport and metabolism ,arCOG00240,Dihydroxynaphthoic acid synthase 
VNG2166Cm,16554512,4,COG3268,R,S,Function unknown ,arCOG00244,Saccharopine dehydrogenase
VNG2166C,16554512,4,COG3268,R,S,Function unknown ,arCOG00244,Saccharopine dehydrogenase
VNG1235C,15790293,3,COG0287,E,E,Amino acid transport and metabolism ,arCOG00245,Prephenate dehydrogenase 
VNG2367G,15791159,3,COG0039,C,C,Energy production and conversion ,arCOG00246,Malate/lactate dehydrogenase
VNG2553G,15791302,3,COG1023,G,G,Carbohydrate transport and metabolism ,arCOG00248,Predicted 6-phosphogluconate dehydrogenase 
VNG1313G,15790352,3,COG1250,I,I,Lipid transport and metabolism ,arCOG00249,3-hydroxyacyl-CoA dehydrogenase 
VNG0681G,15789870,3,COG1250,I,I,Lipid transport and metabolism ,arCOG00250,3-hydroxyacyl-CoA dehydrogenase 
VNG1048G,15790150,2,COG1004,M,M,Cell wall/membrane/envelope biogenesis ,arCOG00253,Predicted UDP-glucose 6-dehydrogenase 
VNG0046G,15789381,2,COG1004,M,M,Cell wall/membrane/envelope biogenesis ,arCOG00253,Predicted UDP-glucose 6-dehydrogenase 
VNG2222G,15791044,3,COG0077,E,E,Amino acid transport and metabolism ,arCOG00255,Prephenate dehydratase 
VNG0794G,15789954,4,COG1744,R,R,General function prediction only ,arCOG00258,"Uncharacterized ABC-type transport system, periplasmic component/surface lipoprotein "
VNG0903C,15790034,4,COG1744,R,R,General function prediction only ,arCOG00258,"Uncharacterized ABC-type transport system, periplasmic component/surface lipoprotein "
VNG0898G,15790032,4,COG4603,R,R,General function prediction only ,arCOG00260,"ABC-type uncharacterized transport system, permease component "
VNG0897G,15790031,4,COG1079,R,R,General function prediction only ,arCOG00261,"Uncharacterized ABC-type transport system, permease component "
VNG1084G,15790178,4,COG2041,R,R,General function prediction only ,arCOG00264,Sulfite oxidase or related enzyme 
VNG1626C,15790583,NA,COG0697,G,GER,NA,arCOG00271,Permease of the drug/metabolite transporter (DMT) superfamily 
VNG6293C,16120207,NA,COG0697,G,GER,NA,arCOG00271,Permease of the drug/metabolite transporter (DMT) superfamily 
VNG1350C,15790379,NA,COG0697,G,GER,NA,arCOG00271,Permease of the drug/metabolite transporter (DMT) superfamily 
VNG1896C,15790786,4,COG0433,L,R,General function prediction only ,arCOG00280,HerA helicase
VNG0935G,15790061,3,COG0778,C,C,Energy production and conversion ,arCOG00288,Nitroreductase 
VNG2493C,15791255,4,COG0613,R,R,General function prediction only ,arCOG00302,Metal-dependent phosphoesterase (PHP family) 
VNG0865C,15790006,4,COG0613,R,R,General function prediction only ,arCOG00302,Metal-dependent phosphoesterase (PHP family) 
VNG0370H,16554467,4,COG0613,R,R,General function prediction only ,arCOG00306,Metal-dependent phosphoesterase (PHP family) 
VNG0370Hm,16554467,4,COG0613,R,R,General function prediction only ,arCOG00306,Metal-dependent phosphoesterase (PHP family) 
VNG1281H,15790328,NA,,NA,,NA,arCOG00307/2,NA
VNG1197G,15790265,2,COG1225,O,O,Posttranslational modification; protein turnover; chaperones ,arCOG00310,Peroxiredoxin 
VNG0152G,15789467,4,COG1999,R,R,General function prediction only ,arCOG00313,Cu2+-binding oxygen sensor (SCO1/SenC/PrrC family)
VNG0711C,15789890,NA,COG0526,O,OC,NA,arCOG00314,Thiol-disulfide isomerase or thioredoxin 
VNG2311H,15791117,2,COG1225,O,O,Posttranslational modification; protein turnover; chaperones ,arCOG00315,Peroxiredoxin 
VNG1834G,15790738,2,COG1225,O,O,Posttranslational modification; protein turnover; chaperones ,arCOG00316,Peroxiredoxin 
VNG2480H,16554519,3,COG0704,P,P,Inorganic ion transport and metabolism ,arCOG00318,Phosphate uptake regulator 
VNG0458G,15789695,3,COG0704,P,P,Inorganic ion transport and metabolism ,arCOG00318,Phosphate uptake regulator 
VNG2480Hm,16554519,3,COG0704,P,P,Inorganic ion transport and metabolism ,arCOG00318,Phosphate uptake regulator 
VNG0766G,15789935,3,COG0704,P,P,Inorganic ion transport and metabolism ,arCOG00318,Phosphate uptake regulator 
VNG0136G,15789452,NA,COG0123,R,BQ,NA,arCOG00324,"Deacetylase, including yeast histone deacetylase and acetoin utilization protein "
VNG0521G,15789745,1,COG0417,L,L,Replication; recombination and repair ,arCOG00328,DNA polymerase elongation subunit (family B) 
VNG6362G,16120259,1,COG0417,L,L,Replication; recombination and repair ,arCOG00329,"DNA polymerase elongation subunit (family B) , inactivated"
VNG6186H,16120130,NA,,NA,,NA,arCOG00329/3,NA
VNG6163H,16120111,NA,,NA,,NA,arCOG00329/3,NA
VNG2320G,15791124,3,COG0247,C,C,Energy production and conversion ,arCOG00332,Membrane associated Fe-S oxidoreductase 
VNG1972G,15790844,3,COG0247,C,C,Energy production and conversion ,arCOG00333,Fe-S oxidoreductase 
VNG6379C,16120273,3,COG0247,C,C,Energy production and conversion ,arCOG00336,Fe-S oxidoreductase 
VNG2422G,15791205,3,COG0277,C,C,Energy production and conversion ,arCOG00337,FAD/FMN-containing dehydrogenase 
VNG0500G,15789728,4,COG1938,R,R,General function prediction only ,arCOG00347,Archaeal enzyme of ATP-grasp superfamily 
VNG0546C,15789764,4,COG2047,R,R,General function prediction only ,arCOG00348,Archaeal enzyme of ATP-grasp superfamily 
VNG2370C,15791160,3,COG1141,C,C,Energy production and conversion ,arCOG00349,Ferredoxin 
VNG1558H,15790535,3,COG1141,C,C,Energy production and conversion ,arCOG00349,Ferredoxin 
VNG2595G,15791331,4,COG1084,R,R,General function prediction only ,arCOG00352,Predicted GTPase 
VNG2611G,15791345,4,COG2262,R,R,General function prediction only ,arCOG00353,GTP-binding protein protease modulator 
